#{"t_start": 1702230013.5230885, "env_id": null}
r,l,t
0,7,10.26784
0,8,13.800832
0,7,20.13556
0,8,23.684727
0,8,27.401216
0,8,31.084892
0,7,37.62038
0,7,44.086104
0,7,50.419089
0,7,56.719377
0,7,63.03592
0,8,66.769103
0,7,73.00292
0,7,79.169514
0,8,82.952835
0,8,86.56969
0,7,92.903392
0,8,96.78653
0,7,102.903637
0,7,109.103739
0,8,112.887021
0,7,119.203965
0,7,125.454242
0,7,131.620883
0,7,137.854461
0,7,144.088176
0,8,147.754478
0,7,160.957249
0,7,167.238485
0,8,171.038312
0,7,177.305433
0,8,180.788732
0,7,187.072636
0,8,190.823931
0,7,197.240148
0,7,203.489742
0,8,207.223058
0,7,213.390458
0,7,219.889842
0,7,226.206518
0,7,238.424664
0,7,244.623814
0,8,248.191065
0,7,254.458191
-1,7,260.691238
0,8,264.324092
0,8,268.0407
0,7,274.2084
0,8,277.674361
0,8,281.441716
0,7,287.890238
0,8,291.673586
0,7,297.789356
-1,7,304.20617
0,7,316.270838
0,7,322.27114
0,7,328.286738
0,8,331.819504
0,8,335.535774
0,8,339.25216
0,7,345.368616
0,8,349.018592
0,8,352.534242
0,8,356.384738
0,7,362.667415
0,7,369.000926
0,8,372.532538
0,7,385.048963
0,8,388.848374
1,7,395.598912
0,8,399.38064
0,7,405.71391
0,7,411.930108
0,7,417.996275
0,8,421.845844
0,8,428.178954
0,8,431.728622
0,8,435.394864
0,7,441.778071
0,7,447.827762
0,7,453.860584
0,7,466.126512
1,7,472.759547
0,8,476.458998
0,8,480.025331
0,8,483.825153
0,7,490.075096
0,8,493.675237
0,7,499.6919
0,8,503.27386
0,8,506.940634
0,8,510.656888
0,8,514.340073
0,8,518.174799
0,7,531.056239
0,7,537.472525
0,7,543.689124
0,7,549.789382
0,8,553.471389
0,7,559.955602
1,7,566.421042
0,7,572.770532
0,8,576.636905
-1,7,583.170322
0,7,589.654079
0,7,596.120576
0,8,599.752466
0,7,613.035953
0,7,619.36946
0,7,625.702649
0,7,631.951592
0,8,635.717748
0,7,641.917486
0,7,648.369731
0,7,654.651167
-1,7,660.983634
0,7,667.316711
0,8,670.917238
0,7,677.117878
0,8,680.932326
0,8,684.682032
0,7,697.832191
0,7,704.04876
0,7,710.248801
0,7,716.564969
0,7,722.948179
-1,7,729.397869
0,7,735.614665
0,7,741.897265
0,7,748.230935
0,8,751.913425
0,7,758.164063
0,7,764.429754
0,8,768.196986
0,7,774.613153
0,7,788.562353
0,8,792.328552
0,7,798.278481
0,7,804.27853
0,7,810.628607
0,7,816.878349
0,7,823.046498
0,7,829.644902
0,8,833.177792
0,7,839.510967
0,7,845.745004
0,7,852.094659
0,7,858.29455
0,7,864.660264
0,7,878.562601
0,8,882.278306
0,7,888.628099
0,8,892.327336
0,7,898.659806
0,8,902.376916
0,7,908.660289
0,7,914.959878
1,7,921.592682
0,7,927.775732
0,7,934.192262
0,7,940.49351
0,7,946.658895
0,8,950.524912
0,7,963.426434
0,7,969.858216
0,7,976.142281
0,7,982.358021
0,7,988.725368
0,7,994.87489
0,7,1001.240944
0,7,1007.525234
0,7,1013.857507
0,7,1020.041257
0,7,1026.208249
0,8,1029.790488
0,7,1036.024813
0,7,1042.241235
0,7,1055.240303
0,7,1061.556949
0,7,1067.741503
0,7,1074.024394
0,7,1080.223424
-1,7,1086.656703
0,7,1092.739809
0,7,1099.007102
0,7,1105.457283
0,7,1111.673643
0,7,1117.772732
0,7,1123.972623
0,7,1130.324521
0,7,1136.511404
0,7,1149.839818
0,7,1156.105788
0,7,1162.42356
0,7,1168.674499
0,7,1174.922791
0,7,1181.105523
0,7,1187.238957
0,7,1193.556358
0,7,1199.655441
0,7,1206.055688
0,7,1212.421999
0,7,1218.888951
0,7,1225.222967
0,7,1231.538777
0,8,1242.689509
0,7,1248.939233
0,7,1255.188695
0,8,1258.838763
0,7,1264.939388
0,7,1271.188582
0,7,1277.522878
0,7,1283.805072
0,7,1289.955683
0,7,1295.971697
0,8,1299.806873
0,7,1305.988448
0,7,1312.355107
0,7,1318.571403
0,7,1331.722053
0,7,1337.871448
0,7,1344.088214
0,7,1350.388047
0,7,1356.688528
0,8,1360.237641
0,7,1366.70547
0,7,1373.071368
0,8,1376.654544
0,7,1382.888202
0,7,1388.987781
0,7,1395.071962
0,7,1401.287896
0,7,1407.654538
0,7,1421.071334
0,7,1427.471417
0,7,1433.754439
0,7,1440.087819
0,7,1446.354884
0,7,1452.604827
0,7,1458.837704
0,7,1465.071572
0,7,1471.404374
0,7,1477.671098
0,8,1481.204022
0,7,1487.521616
0,7,1493.888165
0,7,1500.138347
0,7,1506.404366
0,7,1519.487954
0,7,1525.637767
0,7,1532.038637
0,7,1538.255209
0,7,1544.455328
0,7,1550.723085
0,8,1554.454949
0,8,1558.204057
0,7,1564.721445
0,7,1570.904681
0,7,1577.238045
0,8,1580.820917
0,7,1587.038079
0,7,1600.855265
0,7,1607.071507
0,8,1610.787554
0,7,1617.121476
0,7,1623.338712
0,8,1626.973321
0,8,1630.654995
0,8,1634.320883
0,7,1640.337879
0,8,1644.13751
0,7,1650.305332
0,7,1656.45454
0,7,1662.537917
0,7,1668.621395
0,7,1682.138437
0,7,1688.505305
0,7,1694.888861
0,7,1701.039279
0,7,1707.322484
0,8,1711.087959
0,7,1717.421938
0,8,1720.987969
0,7,1727.322092
0,8,1731.071582
0,7,1737.788585
0,7,1744.022647
0,8,1747.521134
0,7,1753.689029
0,7,1766.891699
0,7,1773.071983
0,7,1779.438458
0,7,1785.771824
0,8,1789.57172
0,7,1795.83888
0,7,1802.239353
0,8,1805.938201
0,8,1809.504806
0,7,1815.805354
0,7,1822.072116
0,7,1828.372261
0,7,1834.706542
0,7,1840.839617
0,8,1851.372517
0,7,1857.672938
0,7,1864.091075
0,8,1867.788741
0,7,1874.089664
0,7,1880.438888
0,7,1886.788826
0,7,1892.772178
0,8,1896.355569
0,8,1899.971935
0,7,1906.072309
0,7,1912.188974
0,8,1915.788625
0,7,1928.140401
0,7,1934.205683
0,7,1940.489117
0,7,1946.872583
0,8,1950.672234
0,7,1956.955901
0,8,1960.538998
0,7,1966.689346
0,7,1973.122772
0,7,1979.456105
0,7,1985.823474
0,7,1991.906157
0,8,1995.722473
0,7,2001.956547
0,8,2011.856981
1,7,2018.357084
0,8,2021.822635
0,7,2028.073072
0,7,2034.339932
1,7,2041.123126
0,7,2047.473927
0,7,2053.673212
0,7,2060.00653
0,7,2066.291183
0,7,2072.473315
0,8,2076.306357
0,8,2080.05638
0,8,2083.673042
0,8,2094.573419
0,8,2098.359054
0,7,2104.473518
0,7,2110.673855
0,7,2116.807142
0,7,2122.941172
0,7,2129.208645
0,7,2135.424008
0,7,2141.708203
0,7,2148.007395
0,7,2154.374477
0,7,2160.74231
0,7,2166.907951
0,8,2177.625076
0,7,2183.824375
0,7,2189.973982
0,7,2196.390943
0,7,2202.607719
0,7,2208.792237
0,7,2215.025137
0,7,2221.407833
0,7,2227.99121
0,7,2234.307579
0,7,2240.592169
0,7,2246.941317
0,7,2253.474818
0,7,2259.842684
0,7,2266.041721
0,7,2279.525501
1,7,2285.941597
0,7,2292.158324
0,7,2298.508712
0,8,2302.261405
0,7,2308.358392
0,7,2314.676054
0,7,2320.758636
0,8,2324.358979
0,7,2330.44155
0,7,2336.693462
0,7,2343.341387
0,7,2349.941483
0,7,2356.457013
0,8,2366.539651
0,7,2372.675061
0,7,2378.689852
0,7,2384.97255
0,8,2388.755506
0,7,2395.105738
0,7,2402.792584
0,7,2409.121948
0,7,2415.941368
0,7,2422.757047
0,8,2427.17332
0,7,2433.95799
0,7,2440.939613
0,7,2448.241569
0,7,2465.771525
0,7,2472.839756
0,7,2479.770785
1,7,2486.302654
0,8,2490.087234
0,8,2494.170377
0,8,2497.986792
0,7,2504.502217
0,7,2510.852246
0,7,2517.619913
0,7,2524.818631
0,7,2531.386026
0,8,2535.153329
0,7,2549.084031
0,8,2552.900451
0,7,2559.067002
0,8,2562.833424
0,7,2569.35056
0,7,2575.81901
0,7,2582.733697
0,7,2589.233252
0,7,2595.683109
0,7,2601.94994
0,8,2608.268293
0,7,2614.449524
0,7,2621.018833
0,8,2624.782115
0,8,2636.581842
0,8,2640.315132
0,8,2644.148339
0,7,2650.46492
0,7,2656.714887
0,7,2662.897976
0,7,2669.181306
0,8,2672.714128
0,7,2678.731046
0,7,2684.947494
0,7,2691.214951
0,7,2697.413808
0,8,2701.347121
0,7,2707.447314
0,7,2721.965203
0,8,2725.746402
0,8,2729.513164
-1,7,2735.946591
0,7,2742.079757
0,7,2748.079788
0,8,2751.829636
0,7,2757.879657
0,7,2764.262679
0,8,2767.963916
0,8,2771.66244
0,8,2775.413201
0,8,2779.162196
0,7,2796.96318
0,7,2803.746357
0,8,2807.499134
0,7,2814.462462
0,8,2818.713547
0,7,2825.879138
0,8,2829.712927
0,7,2836.146568
0,7,2842.361615
0,7,2848.738805
0,7,2855.145051
0,7,2861.345465
0,7,2867.577866
0,8,2871.127557
0,8,2881.57744
0,7,2887.978238
0,7,2894.594921
0,7,2901.531227
0,7,2907.794231
0,7,2914.234134
0,7,2920.784568
0,7,2927.127631
0,7,2933.560607
0,7,2939.743728
0,8,2943.560174
1,7,2950.627669
0,7,2956.643653
0,7,2962.910084
0,8,2973.209687
0,8,2976.693191
0,8,2980.51093
0,8,2984.076185
0,7,2990.059929
0,7,2996.509767
0,7,3002.726461
0,7,3009.126163
0,8,3012.959492
0,7,3019.459686
0,7,3025.576273
0,7,3031.87624
0,7,3038.076136
0,7,3050.80948
0,7,3057.194156
0,7,3063.426579
0,8,3067.075738
0,8,3070.575451
0,7,3076.810395
0,7,3083.292229
0,8,3086.775435
0,7,3092.875826
0,7,3099.092277
0,7,3105.175637
1,7,3111.609041
0,7,3117.925646
0,7,3124.175649
0,7,3136.608896
0,7,3142.825865
0,7,3149.058729
0,7,3155.075418
0,8,3158.575094
0,7,3164.491976
0,7,3170.842482
0,7,3177.09273
1,7,3183.241961
0,7,3189.408536
0,7,3195.942641
0,8,3199.64166
0,7,3206.109545
0,7,3212.308394
0,7,3226.259479
0,7,3232.875614
0,7,3239.05883
0,7,3245.509254
0,7,3251.924973
0,7,3258.241601
0,7,3264.408021
0,7,3270.542346
0,7,3276.741543
0,7,3282.908145
0,7,3289.174814
0,7,3295.224725
0,7,3301.50807
0,7,3307.825467
0,7,3320.558769
0,7,3326.50813
0,8,3330.324184
0,7,3336.524531
0,7,3342.941619
0,7,3349.274719
0,7,3355.557911
0,8,3362.143334
0,8,3365.807775
0,7,3372.460311
0,7,3378.558007
0,7,3384.991302
0,7,3391.208807
-1,7,3398.025376
0,7,3415.608203
0,7,3422.224761
0,7,3428.876109
0,7,3434.991223
0,7,3441.308359
0,7,3447.57449
0,7,3453.674439
0,7,3460.259542
0,7,3466.407732
0,7,3472.841327
0,7,3479.158571
0,7,3485.224472
0,7,3491.708114
0,7,3498.159557
0,7,3511.524406
0,7,3517.774191
0,7,3523.824401
0,7,3530.241036
0,7,3536.475157
0,7,3542.874317
0,7,3548.940975
0,7,3555.275348
0,7,3561.574415
0,7,3567.775212
0,7,3573.957497
-1,7,3580.357575
0,7,3586.657727
0,7,3592.91137
0,7,3599.391786
0,7,3612.058336
0,7,3618.174282
0,7,3624.691137
0,7,3630.891017
0,7,3637.357867
0,7,3643.807678
0,7,3650.040964
0,7,3656.341039
0,7,3662.458095
0,7,3668.59105
0,7,3674.908303
0,7,3680.874271
0,7,3687.190781
0,7,3693.274188
0,7,3707.091964
0,7,3713.325002
0,7,3719.792548
0,7,3726.241186
0,7,3732.807759
0,7,3739.074497
0,7,3745.458752
0,7,3751.657726
0,7,3757.774414
0,7,3764.108386
0,8,3767.69082
0,7,3773.87447
0,7,3780.191226
0,7,3786.492445
0,7,3799.441104
0,7,3805.775114
0,7,3812.308126
0,7,3818.60756
1,7,3825.25846
0,7,3831.307576
0,7,3837.641917
0,7,3844.04117
0,7,3850.39181
0,7,3856.424432
0,7,3862.524482
-1,7,3868.991163
0,7,3874.991309
0,7,3881.393187
1,7,3895.974567
0,7,3902.35839
0,7,3908.574399
0,7,3914.724572
0,7,3921.108629
0,7,3927.107911
0,7,3933.041911
0,7,3939.292748
-1,7,3945.724669
1,7,3952.62489
0,7,3959.393976
0,7,3966.286541
0,7,3973.560038
0,7,3980.643156
0,7,3986.918658
0,7,4000.992792
0,7,4007.242043
0,7,4013.342213
0,7,4019.542497
0,7,4025.991502
0,7,4032.558765
0,7,4039.641717
0,7,4046.209319
0,7,4053.35235
0,7,4060.341972
0,7,4067.827297
0,7,4076.409501
0,7,4084.062163
1,7,4091.592601
0,7,4109.07624
0,7,4116.137083
0,7,4123.81049
0,7,4131.242299
0,7,4137.825679
0,7,4144.426335
0,7,4151.160084
-1,7,4158.645026
0,7,4165.611172
0,7,4172.186788
1,7,4179.145575
0,7,4185.809392
0,7,4192.392445
-1,7,4199.226009
0,7,4215.680351
1,7,4222.426253
0,7,4228.915654
0,7,4235.528201
0,7,4242.510174
0,7,4249.127619
0,7,4255.575317
0,7,4261.942063
0,7,4268.175386
0,7,4275.044677
0,7,4281.6422
0,7,4288.292462
0,7,4295.159306
0,7,4301.677292
0,7,4308.476217
0,7,4324.995418
0,7,4332.342492
0,7,4338.77558
0,7,4344.892161
0,7,4351.543503
0,7,4358.51062
0,7,4365.259919
0,7,4371.726002
0,7,4378.327164
0,7,4384.79362
0,7,4391.444329
0,7,4397.944912
0,7,4404.612863
0,7,4411.297646
0,7,4428.196221
0,7,4434.564067
0,7,4441.330627
0,7,4447.782046
0,7,4454.231322
0,7,4461.03157
0,7,4467.632215
0,7,4474.149194
0,7,4481.316504
0,7,4487.734272
0,7,4494.116724
0,7,4500.567697
0,7,4507.084255
0,7,4514.486062
0,7,4535.905071
1,7,4542.752979
0,7,4549.65527
0,7,4556.253362
0,7,4563.038559
0,7,4569.737207
0,7,4576.437867
0,7,4582.991021
0,8,4586.854463
0,7,4593.438318
0,7,4600.189022
0,7,4606.755854
0,7,4613.839436
0,7,4620.390101
0,7,4636.824063
0,7,4643.207187
0,7,4649.809001
0,7,4656.374555
0,7,4663.242844
1,7,4670.210801
0,7,4676.692037
0,7,4683.025973
0,7,4689.542919
0,7,4696.043056
0,7,4702.510223
0,7,4708.977517
0,7,4715.510853
0,7,4722.194293
0,7,4728.711734
0,7,4744.295211
0,7,4750.795373
0,7,4758.096471
0,7,4764.59567
0,7,4771.19625
0,7,4777.812826
0,7,4784.229372
0,7,4790.863069
0,7,4797.229771
0,7,4803.933177
0,7,4810.580426
0,7,4817.049286
0,7,4823.414423
0,7,4830.247663
0,7,4844.231806
0,7,4850.347749
0,7,4856.615625
0,7,4862.66525
0,7,4869.049271
0,7,4875.132041
0,7,4881.383002
0,7,4887.482403
0,7,4893.782465
0,7,4899.982868
0,7,4906.083165
0,7,4912.250056
0,7,4918.850138
0,7,4924.950177
0,7,4938.151139
0,7,4945.722103
0,7,4952.784775
0,7,4959.582986
1,7,4966.53511
0,7,4973.085446
-1,7,4979.652407
0,7,4986.168807
0,7,4992.552556
0,7,4998.769952
0,7,5005.103107
0,7,5011.719883
0,7,5018.2698
1,7,5024.936316
0,7,5038.703667
-1,7,5045.544366
0,7,5051.770568
0,7,5058.1539
0,7,5064.605197
0,7,5070.855326
0,7,5077.205405
0,7,5083.671352
0,7,5089.871434
0,7,5096.271255
0,7,5102.554803
0,7,5108.83841
0,7,5115.391044
0,7,5121.755514
0,7,5128.172326
0,7,5141.172518
0,7,5147.579576
0,7,5153.906236
0,7,5160.30694
0,7,5166.42316
0,7,5172.456585
0,7,5178.639977
0,7,5184.790632
0,7,5190.890357
0,7,5197.273587
0,7,5203.824238
0,7,5210.190615
0,7,5216.490862
0,7,5222.808388
0,7,5235.992721
0,7,5242.324679
1,7,5249.058372
0,7,5255.224861
0,7,5261.374981
0,7,5267.609662
0,7,5274.208777
0,7,5280.375312
0,7,5286.758928
0,7,5292.858981
0,7,5299.109161
0,7,5305.243705
0,7,5311.493645
0,7,5317.676829
0,7,5331.143389
0,7,5337.343173
0,7,5343.527653
-1,7,5349.929546
0,7,5356.427755
0,7,5363.311177
0,7,5371.531721
0,7,5378.04443
1,7,5385.179437
0,7,5392.128705
0,7,5398.527586
0,7,5404.82807
0,7,5410.961727
0,7,5417.228327
0,7,5423.578577
0,7,5438.163534
0,7,5444.613051
0,7,5450.878641
-1,7,5457.462408
0,7,5463.86233
0,7,5470.095814
0,7,5476.463411
0,7,5482.729282
0,7,5489.262702
0,7,5495.496138
1,7,5501.913943
0,7,5508.03039
0,7,5514.313368
0,7,5520.563458
0,7,5533.646582
0,7,5539.930077
0,7,5546.147118
-1,7,5552.547849
-1,7,5559.230851
0,7,5565.513819
0,7,5571.813848
0,7,5578.131708
0,7,5584.247542
0,7,5590.430868
0,7,5596.781054
0,7,5603.081096
0,7,5609.732523
0,7,5616.082105
0,7,5628.681441
0,7,5634.981511
0,7,5641.174662
0,7,5647.61522
0,7,5653.898802
0,7,5660.348591
0,7,5666.399523
0,7,5672.615499
0,7,5678.916312
0,7,5685.19975
0,7,5691.532462
1,7,5698.082508
0,7,5704.482767
0,7,5710.765957
0,7,5724.433082
0,7,5730.833819
-1,7,5737.099906
-1,7,5743.583184
0,7,5750.051135
0,7,5756.333359
0,7,5762.416646
-1,7,5768.700275
0,7,5774.716999
0,7,5781.067189
0,7,5788.069581
0,7,5795.785263
