#{"t_start": 1702393806.5680215, "env_id": null}
r,l,t
0,8,6.76543
0,7,13.13278
0,7,19.699646
0,8,23.415562
0,8,27.151422
0,8,30.782345
0,8,34.416515
0,7,40.699579
0,8,44.466663
0,7,50.866448
0,7,57.418043
0,7,63.950304
0,8,67.70049
0,8,71.566104
0,7,77.934188
0,7,84.351305
0,7,90.783845
0,8,94.500871
0,7,100.883806
0,8,104.683452
0,7,110.90294
0,7,117.202726
0,7,123.419095
0,7,129.684279
-1,7,136.050966
0,7,142.501024
0,7,148.735075
0,7,154.967865
1,7,161.436601
0,7,167.751762
0,7,174.151313
0,7,180.65204
0,7,187.185108
0,7,193.652391
0,8,197.253431
0,8,200.904113
-1,7,207.536189
0,7,213.869852
0,8,217.601853
0,7,223.836645
1,7,230.035619
0,7,236.335494
0,7,242.719912
0,8,246.268819
0,7,252.602594
0,7,259.019558
0,7,265.486174
0,7,271.752824
0,7,277.93701
0,8,281.70267
0,7,288.036354
0,8,291.819418
0,7,298.119758
0,7,304.436806
0,7,310.819886
0,7,317.003473
1,7,323.570266
0,7,329.953701
0,7,336.187091
0,7,342.436923
0,8,346.253929
0,7,352.53752
0,7,358.787531
0,7,365.188087
0,8,368.92052
1,7,375.454337
0,7,381.721742
0,7,388.055025
0,7,394.40512
0,7,400.754734
0,8,404.504359
0,7,410.939027
0,7,417.289155
-1,7,423.739257
0,7,430.039565
0,7,436.238364
0,7,442.34042
-1,7,448.888735
1,7,455.205394
0,7,461.338851
-1,7,467.805501
0,7,474.089738
0,8,477.656222
0,7,484.089173
0,7,490.257543
1,7,496.740056
0,7,502.956032
0,7,509.158138
0,7,515.422932
0,7,521.6404
0,7,527.77377
0,7,533.956755
0,7,540.22332
0,8,543.823033
0,7,550.106746
-1,7,556.506935
1,7,562.874249
-1,7,569.190379
0,7,575.207057
0,7,581.440441
1,7,587.807225
1,7,594.342266
0,7,600.440684
0,7,606.7742
0,7,613.058346
1,7,619.291049
0,8,622.974103
0,7,629.074506
0,7,635.257972
0,7,641.375839
1,7,647.775811
0,8,651.40845
0,7,657.458174
0,8,660.97493
0,8,664.625159
-1,7,671.075849
0,7,677.360575
0,7,683.792167
0,7,689.908709
0,7,696.208854
0,7,702.643269
0,7,708.977082
0,8,712.72543
0,7,719.109324
0,7,725.277173
0,7,731.892699
0,7,738.142817
0,7,744.193742
0,7,750.326843
0,7,756.543621
0,7,762.860326
0,7,768.926438
-1,7,775.359872
0,7,781.476651
0,7,787.677481
-1,7,794.527023
-1,7,801.061189
0,7,807.311293
1,7,813.710535
0,7,820.577039
0,8,824.460207
0,7,830.928215
0,7,837.279694
0,8,841.127045
0,8,845.043941
0,7,851.528306
0,7,857.777745
0,7,864.162037
0,7,870.678157
0,7,877.027865
0,7,883.561733
1,7,890.312562
1,7,897.097572
0,7,903.645299
0,7,910.387961
0,7,916.845192
0,7,923.19542
0,7,929.612122
0,7,936.379943
0,8,940.329759
0,7,946.695577
0,7,952.929142
0,7,959.395989
0,7,966.783378
0,7,974.516563
0,8,978.612834
0,7,985.180612
0,8,988.997083
0,7,995.279759
0,7,1001.629864
0,8,1005.312795
0,8,1009.096309
0,8,1012.912983
0,8,1016.747103
0,8,1020.497151
0,8,1024.297238
0,7,1030.548992
0,8,1034.680057
-1,7,1041.28043
0,7,1047.813702
0,7,1054.381426
0,7,1060.680749
0,7,1067.014049
0,7,1073.281465
0,8,1077.080502
0,8,1080.880619
0,8,1084.749679
0,8,1088.597507
0,8,1092.514572
0,7,1098.998552
0,7,1105.398032
0,7,1112.314885
0,7,1118.564804
0,7,1125.148737
0,7,1131.53122
1,7,1138.315973
0,7,1145.048866
0,7,1152.832697
0,7,1159.314821
0,7,1165.633044
1,7,1172.28168
1,7,1179.015039
0,7,1185.414847
0,7,1191.848946
0,7,1198.53173
0,8,1202.364547
1,7,1208.799297
0,7,1215.181887
0,7,1221.565324
1,7,1228.481896
1,7,1235.16533
0,7,1242.231788
0,8,1246.081676
0,7,1252.63171
1,7,1259.148558
1,7,1265.631952
0,8,1269.481838
0,7,1277.121096
0,7,1283.815926
0,7,1290.333001
0,8,1294.181692
0,7,1300.631785
0,7,1307.031765
1,7,1313.631964
0,7,1319.982752
0,7,1326.431818
1,7,1332.916296
0,7,1339.298996
0,7,1345.715319
0,7,1351.950388
0,7,1358.332985
0,7,1364.782084
0,7,1371.382997
1,7,1378.267109
0,7,1384.616395
0,7,1390.966449
0,7,1397.550447
0,7,1403.915913
0,7,1410.282607
0,7,1416.634319
1,7,1423.132363
0,7,1429.58251
0,7,1436.015827
0,7,1442.316079
0,7,1448.632599
1,7,1455.134279
0,7,1461.566115
0,7,1468.049699
0,7,1474.350745
0,7,1480.683482
0,7,1487.034967
0,7,1493.299819
0,8,1497.034023
0,7,1503.451164
0,7,1509.733068
1,7,1516.584691
0,7,1522.951225
0,7,1529.366327
0,8,1533.150523
0,7,1539.516247
1,7,1546.250709
0,7,1552.650471
0,7,1558.95209
0,7,1565.401393
0,7,1571.766612
0,7,1578.151422
0,8,1581.96712
0,8,1585.782681
1,7,1592.299969
0,7,1598.683271
0,7,1605.03332
1,7,1611.433553
0,7,1617.751864
0,8,1621.51728
0,8,1625.200179
0,8,1628.950249
0,8,1632.634325
0,8,1636.416759
0,8,1640.283533
0,8,1644.000988
0,8,1647.783798
0,8,1651.552396
0,7,1657.967346
0,8,1661.717063
0,7,1667.951299
0,7,1674.318326
0,7,1680.617795
0,7,1687.034989
0,7,1693.335066
0,8,1697.100694
0,7,1703.484378
0,7,1709.80181
0,7,1716.151687
0,7,1722.634628
0,7,1728.984683
0,7,1735.153764
0,7,1741.501472
0,7,1747.918134
0,7,1754.368138
0,7,1761.035321
0,7,1767.501455
0,7,1773.968011
0,7,1780.401506
0,7,1786.71891
0,7,1793.119095
0,7,1799.684916
0,8,1803.501531
0,7,1809.869467
0,7,1816.301819
0,7,1822.752995
0,7,1829.201743
0,7,1835.752946
0,7,1842.15216
0,7,1848.703063
0,7,1855.302287
0,7,1861.869785
0,8,1865.702073
0,7,1872.235528
0,8,1876.068933
0,7,1882.754228
0,7,1889.185897
0,7,1895.653537
0,7,1902.286714
0,7,1908.869246
0,7,1915.253971
0,7,1921.702667
0,7,1928.30284
0,7,1934.902904
1,7,1941.569843
0,7,1948.002987
0,7,1954.486344
0,7,1960.954113
-1,7,1967.486665
0,7,1973.870035
0,7,1980.48671
0,8,1984.33887
0,8,1988.086622
0,8,1991.986625
0,7,1998.436778
0,8,2002.386726
0,8,2006.303286
0,8,2010.154608
0,8,2013.986822
0,7,2020.503595
1,7,2027.270649
0,7,2033.637888
0,8,2037.420362
0,8,2041.287019
1,7,2047.904852
0,7,2054.237375
0,7,2060.607136
0,7,2066.954114
0,7,2073.487594
0,8,2077.422136
0,8,2081.238031
0,8,2085.155516
0,8,2089.003987
1,7,2095.94014
0,7,2102.604551
0,8,2106.620744
0,7,2113.18807
0,7,2119.821253
0,8,2123.955322
0,8,2127.773128
1,7,2134.571451
1,7,2141.338171
0,7,2148.055906
0,7,2154.871955
0,7,2161.621777
1,7,2168.721836
0,8,2172.588954
0,8,2176.571564
0,7,2183.222303
0,7,2189.972315
0,7,2196.557937
0,8,2200.423092
0,8,2204.388947
0,7,2210.822119
0,8,2214.606219
1,7,2221.439289
0,7,2227.873485
0,7,2234.272159
0,7,2240.522269
1,7,2246.972448
0,7,2253.288946
0,7,2259.489133
0,7,2266.055818
0,7,2272.572717
0,7,2279.006007
0,8,2282.855891
0,7,2289.357044
0,7,2295.723016
0,8,2299.406329
0,8,2303.291578
0,7,2309.689929
1,7,2316.223452
0,7,2322.591782
1,7,2329.207167
0,7,2335.607098
0,8,2339.306588
1,7,2346.140286
0,8,2349.973195
0,7,2356.457735
0,7,2362.857251
0,8,2366.724525
0,8,2370.490602
0,7,2376.873741
0,8,2380.607379
0,7,2386.908062
0,7,2393.357993
0,7,2399.673991
0,7,2406.10837
0,7,2412.574241
0,7,2419.041662
0,7,2425.457731
0,7,2431.808288
0,7,2438.158505
0,7,2444.558547
0,7,2451.008665
0,7,2457.491593
0,7,2463.974836
0,7,2470.358274
1,7,2476.792393
0,7,2483.141699
1,7,2489.993902
0,7,2496.425106
1,7,2503.091775
1,7,2509.658605
0,7,2516.075175
0,7,2522.32615
0,7,2528.592294
1,7,2535.35917
1,7,2541.842147
0,7,2548.642128
0,8,2552.459436
0,7,2558.643113
0,7,2565.00993
0,7,2571.192158
1,7,2577.842572
0,7,2584.292754
0,7,2590.592332
0,7,2596.826278
0,7,2603.142926
0,7,2609.525888
0,7,2615.859745
0,7,2622.226406
0,7,2628.642859
0,7,2634.943268
0,7,2641.343967
0,7,2647.710348
0,7,2654.076614
0,7,2660.377583
1,7,2667.043886
0,7,2673.360343
0,7,2679.6771
0,7,2686.027092
0,7,2692.395299
0,7,2698.694048
0,7,2704.894139
0,7,2711.177464
1,7,2717.594498
0,7,2723.91194
0,7,2730.294296
0,7,2736.544353
0,7,2742.844743
0,7,2749.261535
0,7,2755.528715
0,7,2761.928089
0,7,2768.378133
0,7,2774.712998
0,7,2780.995514
0,7,2787.46224
0,7,2793.878697
1,7,2800.379181
1,7,2807.045159
0,7,2813.378345
0,7,2819.878625
0,7,2826.146071
0,7,2832.5786
0,7,2839.079967
0,7,2845.462316
0,7,2852.279027
0,7,2858.6788
0,7,2865.079104
0,7,2871.629076
0,8,2875.462139
0,7,2881.796745
0,7,2888.279519
0,7,2894.779317
0,7,2901.363772
0,7,2907.849566
0,7,2914.26285
0,7,2920.512818
1,7,2927.246468
0,7,2933.629805
0,7,2940.198101
0,7,2946.69653
1,7,2953.249099
0,7,2959.646684
0,7,2966.063501
1,7,2972.797039
0,7,2979.0968
0,7,2985.463628
1,7,2992.013742
0,7,2998.399839
0,7,3004.881166
0,7,3011.280998
0,7,3017.730702
0,7,3025.095796
0,7,3032.884071
1,7,3039.614278
0,7,3046.064551
1,7,3052.531015
1,7,3058.981202
1,7,3065.63134
1,7,3072.29812
0,7,3078.564866
0,7,3085.048769
0,7,3091.615064
0,7,3098.048255
0,7,3104.531762
1,7,3111.098599
0,8,3114.898027
0,7,3121.381861
0,7,3127.750315
0,7,3134.316289
0,7,3140.798913
0,7,3147.215514
0,7,3153.865825
1,7,3160.401282
0,7,3166.832368
0,7,3173.165704
0,7,3179.482795
0,7,3185.865945
0,7,3192.165927
0,7,3198.59932
1,7,3205.149447
0,7,3211.600281
0,7,3217.949132
0,7,3224.2667
0,7,3230.599006
1,7,3237.201278
0,7,3243.682596
0,7,3250.133059
0,7,3256.549121
1,7,3263.198975
0,7,3269.682236
0,8,3273.665432
0,7,3279.984369
0,7,3286.548848
1,7,3293.182259
0,7,3299.61686
0,7,3306.098885
0,7,3312.46538
0,7,3318.833088
0,7,3325.100158
0,7,3331.58253
0,7,3338.11692
0,7,3344.484309
1,7,3350.932318
1,7,3357.733335
1,7,3364.265716
0,7,3370.615614
0,7,3377.015629
0,7,3383.4999
0,7,3389.799598
0,7,3396.332396
0,7,3402.882757
0,7,3409.316756
0,7,3415.699721
0,7,3422.065638
0,7,3428.465766
1,7,3435.066581
0,7,3441.349041
0,7,3447.632302
0,8,3451.465377
0,7,3457.91817
0,7,3464.432304
0,7,3470.898971
1,7,3477.332309
1,7,3484.099634
1,7,3491.166645
0,7,3497.5171
0,7,3503.932457
0,7,3510.248939
0,7,3516.865698
0,7,3523.33231
0,7,3529.899161
1,7,3536.816498
0,7,3543.182814
0,7,3549.565613
0,7,3556.032432
1,7,3562.582285
0,7,3569.033641
0,7,3575.398903
1,7,3582.032636
0,7,3588.382616
1,7,3595.049724
0,7,3601.315556
0,7,3607.782656
0,7,3614.215964
0,7,3620.666005
0,7,3626.999141
0,7,3633.33413
0,7,3639.95047
0,7,3646.350484
0,7,3652.549399
0,7,3658.9328
0,7,3665.365822
0,7,3671.616073
0,7,3677.965913
0,7,3684.232604
0,7,3690.515878
0,7,3696.866632
0,7,3703.333088
0,7,3709.60039
0,8,3713.351533
0,7,3720.020013
1,7,3727.653053
0,7,3734.333051
0,7,3740.60055
0,7,3746.966615
0,7,3753.2165
0,7,3759.716731
0,7,3766.049918
0,7,3772.333235
0,7,3778.88339
